"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2680","Navigate to TOC path: ('Docs', 'Installation', ""What's Installed"")","tests","2026-08-28","passed","2026-08-28","","test_iframe_page","",""
"","1418","Contact form values are correctly saved and verified","tests","2026-08-28","passed","2026-08-28","","test_contact_page","",""
"","2143","Navigate to link: Docs","tests","2026-08-28","passed","2026-08-28","","test_iframe_page","",""
"","875","Contact form rejects invalid email: user@","tests","2026-08-28","passed","2026-08-28","","test_contact_page","",""
"","662","Avatar is loaded","tests","2026-08-28","passed","2026-08-28","","test_contact_page","",""
"","677","Contact form rejects invalid email: invalid","tests","2026-08-28","passed","2026-08-28","","test_contact_page","",""
"","2225","Navigate to link: MCP","tests","2026-08-28","passed","2026-08-28","","test_iframe_page","",""
"","514","Verify mocked response for login request","tests","2026-08-28","passed","2026-08-28","","test_network_intercept","",""
"","745","Contact form rejects invalid email: user example@example.com","tests","2026-08-28","passed","2026-08-28","","test_contact_page","",""
"","2511","Navigate to TOC path: ('Docs', 'Installation', 'Installing Playwright')","tests","2026-08-28","passed","2026-08-28","","test_iframe_page","",""
"","1267","Contact form rejects invalid email: @example.com","tests","2026-08-28","passed","2026-08-28","","test_contact_page","",""
"","979","Contact form rejects invalid email: invalid@","tests","2026-08-28","passed","2026-08-28","","test_contact_page","",""
"","676","Avatar is visible","tests","2026-08-28","passed","2026-08-28","","test_contact_page","",""
