"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","6","0","","0"
"0","UI Automation","0","Contact Page","1","0","Page Navigation","0"
"0","UI Automation","0","Authentication","3","0","Login Validation","0"
"0","UI Automation","0","IFrame","2","0","Navigation","0"
"0","UI Automation","0","Authentication","3","0","Unsuccessful Login","0"
"0","UI Automation","0","IFrame","2","0","Table of Contents Navigation","0"
"0","UI Automation","0","Contact Page","2","0","Avatar Verification","0"
"0","UI Automation","0","Contact Form","1","0","Form Filling","0"
"0","UI Automation","0","Authentication","1","0","Successful Login","0"
"0","UI Automation","0","User Profile","1","0","Session Restoration","0"
