"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","760","Avatar is loaded","tests","2026-08-27","passed","2026-08-27","","test_contact_page","",""
"","725","Login fails with invalid credentials: student","tests","2026-08-27","passed","2026-08-27","","test_login","",""
"","2775","Navigate to link: Docs","tests","2026-08-27","passed","2026-08-27","","test_iframe_page","",""
"","3598","Navigate to TOC path: ('Docs', 'Installation', 'Installing Playwright')","tests","2026-08-27","passed","2026-08-27","","test_iframe_page","",""
"","847","test_contact_form_rejects_invalid_email[chromium-user example@example.com]","tests","2026-08-27","passed","2026-08-27","","test_contact_page","",""
"","3045","Navigate to TOC path: ('Docs', 'Installation', ""What's Installed"")","tests","2026-08-27","passed","2026-08-27","","test_iframe_page","",""
"","727","Verify mocked response for login request","tests","2026-08-27","passed","2026-08-27","","test_network_intercept","",""
"","545","Avatar is visible","tests","2026-08-27","passed","2026-08-27","","test_contact_page","",""
"","542","Contact page is opened and title is correct","tests","2026-08-27","passed","2026-08-27","","test_contact_page","",""
"","1176","test_contact_form_rejects_invalid_email[chromium-invalid]","tests","2026-08-27","passed","2026-08-27","","test_contact_page","",""
"Test that verifies user session is restored via the stored auth state.","533","User is logged in automatically using storage state","tests","2026-08-27","passed","2026-08-27","","test_profile","",""
"","1422","Contact form values are correctly saved and verified","tests","2026-08-27","passed","2026-08-27","","test_contact_page","",""
"","515","Login validation: username='', password='Password123'","tests","2026-08-27","passed","2026-08-27","","test_login","",""
"","2248","Navigate to link: MCP","tests","2026-08-27","passed","2026-08-27","","test_iframe_page","",""
"","1053","test_contact_form_rejects_invalid_email[chromium-@example.com]","tests","2026-08-27","passed","2026-08-27","","test_contact_page","",""
"","611","Login fails with invalid credentials: wronguser","tests","2026-08-27","passed","2026-08-27","","test_login","",""
"","801","test_contact_form_rejects_invalid_email[chromium-user@]","tests","2026-08-27","passed","2026-08-27","","test_contact_page","",""
"","1142","Successful login with valid credentials","tests","2026-08-27","passed","2026-08-27","","test_login","",""
"","742","Login validation: username='', password=''","tests","2026-08-27","passed","2026-08-27","","test_login","",""
"","822","test_contact_form_rejects_invalid_email[chromium-invalid@]","tests","2026-08-27","passed","2026-08-27","","test_contact_page","",""
"","689","Login validation: username='student', password=''","tests","2026-08-27","passed","2026-08-27","","test_login","",""
"","444","Login fails with invalid credentials: wronguser","tests","2026-08-27","passed","2026-08-27","","test_login","",""
